0
Which section(s) does your Senior high school operate?
Which section(s) does your Senior high school operate?/Morning
Which section(s) does your Senior high school operate?/Afternoon
Which section(s) does your Senior high school operate?/Evening
What is the total number of Senior High School students?
What is the total number of Senior High School students that are males?
What is the total number of Senior High School students that are females?
What is the total number of Senior High School teachers that are males?
How many teachers are teaching only one grade at Senior High level that are male?
How many teachers are teaching only one grade at  Senior High level that are female?
How many additional teachers are needed at Senior High level?
How many MALE students in Grade 10 are Repeaters?
How many FEMALE students in Grade 10 are Repeaters?
How many MALE students in Grade 11 are Repeaters?
How many FEMALE students in Grade 11 are Repeaters?
How many FEMALE students in Grade 12 are Repeaters?
How many MALE students in Grade 12 are Repeaters?
How many MALE students in Grade 10 are Visually impaired ?
How many FEMALE students in Grade 10 are Visually impaired?
How many MALE students in Grade 11 are Visually impaired ?
How many FEMALE students in Grade 11 are Visually impaired?
How many MALE students in Grade 12 are Visually impaired ?
How many FEMALE students in Grade 12 are Visually impaired?
How many MALE students in  Grade 10 have hearing impairment?
How many FEMALE students in Grade 10 have hearing impairment?
How many MALE students in  Grade 11 have hearing impairment?
How many FEMALE students in Grade 11 have hearing impairment?
How many MALE students in  Grade 12 have hearing impairment?
How many FEMALE students in Grade 12 have hearing impairment?
How many MALE students in  Grade 10 have other physical disabilities?
How many FEMALE students in  Grade 10 have other physical disabilities?
How many MALE students in  Grade 11 have other physical disabilities?
How many FEMALE students in  Grade 11 have other physical disabilities?
How many MALE students in  Grade 12 have other physical disabilities?
How many FEMALE students in  Grade 12 have other physical disabilities?
How many MALE students in  Grade 10 have other mental disability or learning difficulty?
How many MALE students in  Grade 11 have other mental disability or learning difficulty?
How many MALE students in  Grade 12 have other mental disability or learning difficulty?
How many FEMALE students in  Grade 10 have other mental disability or learning difficulty?
How many FEMALE students in  Grade 11 have other mental disability or learning difficulty?
How many FEMALE students in  Grade 12 have other mental disability or learning difficulty?
How many Sections do Grade 10 has?
How many Sections do Grade 11 has?
How many Sections do Grade 12 has?
How many students below Age 12 years old in Grade 10 are MALES?
How many students below Age 12 years old in Grade 11 are MALES?
How many students below Age 12 years old in Grade 12 are MALES?
How many students below Age 12 years old in Grade 10 are FEMALES?
How many students below Age 12 years old in Grade 11 are FEMALES?
How many students below Age 12 years old in Grade 12 are FEMALES?
How many students Age 12 years old in Grade 10 are MALES?
How many students Age 12 years old in Grade 11 are MALES?
How many students Age 12 years old in Grade 12 are MALES?
How many students Age 12 years old in Grade 10 are FEMALES?
How many students Age 12 years old in Grade 11 are FEMALES?
How many students Age 12 years old in Grade 12 are FEMALES?
How many students  Age 13 years old in Grade 10 are MALES?
How many students  Age 13 years old in Grade 11 are MALES?
How many students  Age 13 years old in Grade 12 are MALES?
How many students  Age 13 years old in Grade 10 are FEMALES?
How many students  Age 13 years old in Grade 11 are FEMALES?
How many students  Age 13 years old in Grade 12 are FEMALES?
How many students  Age 14 years old in Grade 10 are MALES?
How many students  Age 14 years old in Grade 11 are MALES?
How many students  Age 14 years old in Grade 12 are MALES?
How many students  Age 14 years old in Grade 10 are FEMALES?
How many students  Age 14 years old in Grade 11 are FEMALES?
How many students  Age 14 years old in Grade 12 are FEMALES?
How many students  Age 15 years old in Grade 10 are MALES?
How many students  Age 15 years old in Grade 11 are MALES?
How many students  Age 15 years old in Grade 12 are MALES?
How many students  age 15 Years old  in Grade 10 are FEMALES?
How many students  age 15 Years old  in Grade 11 are FEMALES?
How many students  age 15 Years old  in Grade 12 are FEMALES?
How many students age 16 Years old  in Grade 10 are MALES?
How many students age 16 Years old  in Grade 11 are MALES?
How many students age 16 Years old  in Grade 12 are MALES?
How many students  above Age 16 in Grade 10 are FEMALES?
How many students  above Age 16 in Grade 11 are FEMALES?
How many students  above Age 16 in Grade 12 are FEMALES?
How many students age 17 in Grade 10 are MALES?
How many students age 17 in Grade 11 are MALES?
How many students age 17 in Grade 12 are MALES?
How many students age 17 in Grade 10 are FEMALES?
How many students age 17 in Grade 11 are FEMALES?
How many students age 17 in Grade 12 are FEMALES?
How many students age 18 in Grade 10 are MALES?
How many students age 18 in Grade 11 are MALES?
How many students age 18 in Grade 12 are MALES?
How many students age 18 in Grade 10 are FEMALES?
How many students age 18 in Grade 11 are FEMALES?
How many students age 18 in Grade 12 are FEMALES?
How many students age 19 in Grade 10 are MALES?
How many students age 19 in Grade 11 are MALES?
How many students age 19 in Grade 12 are MALES?
How many students age 19 in Grade 10 are FEMALES?
How many students age 19 in Grade 11 are FEMALES?
How many students age 19 in Grade 12 are FEMALES?
How many students age 20 in Grade 10 are MALES?
How many students age 20 in Grade 11 are MALES?
How many students age 20 in Grade 12 are MALES?
How many students age 20 in Grade 10 are FEMALES?
How many students age 20 in Grade 11 that are FEMALES?
How many students age 20 in Grade 12 that are FEMALES?
How many students above age 20 in Grade 10 that are MALES?
How many students above age 20 in Grade 11 that are MALES?
How many students above age 20 in Grade 12 that are MALES?
How many students above age 20 in Grade 10 that are FEMALES?
How many students above age 20 in Grade 11 that are FEMALES?
How many students above age 20 in Grade 12 that are FEMALES?
How many students who graduated from Grade 10 last Academic year are MALES
How many students who graduated from Grade 11 last Academic year are MALES
How many students who graduated from Grade 12 last Academic year are MALES
How many students who graduated from Grade 10 last Academic year are FEMALES?
How many students who graduated from Grade 11 last Academic year are FEMALES?
How many students who graduated from Grade 12 last Academic year are FEMALES?
What is total intake in Grade 10?
What is total intake in Grade 11?
What is total intake in Grade 12?
