,County,Type of school,Professional qualification,0
122,Grand Gedeh,Community,In-service B Certificate,1.0
123,Grand Gedeh,Community,In-service C Certificate,23.0
124,Grand Gedeh,Community,No teaching certificate,4.0
125,Grand Gedeh,Community,Pre-service B Certificate,1.0
126,Grand Gedeh,Community,Pre-service C Certificate,1.0
127,Grand Gedeh,Faith-based,AA Certificate,30.0
128,Grand Gedeh,Faith-based,B.Sc. in Education,19.0
129,Grand Gedeh,Faith-based,In-service B Certificate,7.0
130,Grand Gedeh,Faith-based,In-service C Certificate,46.0
131,Grand Gedeh,Faith-based,No teaching certificate,63.0
132,Grand Gedeh,Faith-based,Pre-service B Certificate,4.0
133,Grand Gedeh,Faith-based,Pre-service C Certificate,25.0
134,Grand Gedeh,Private,AA Certificate,57.0
135,Grand Gedeh,Private,B.Sc. in Education,52.0
136,Grand Gedeh,Private,In-service B Certificate,13.0
137,Grand Gedeh,Private,In-service C Certificate,207.0
138,Grand Gedeh,Private,M.Sc. in Education,3.0
139,Grand Gedeh,Private,No teaching certificate,72.0
140,Grand Gedeh,Private,PhD in Education,0.0
141,Grand Gedeh,Private,Pre-service B Certificate,9.0
142,Grand Gedeh,Private,Pre-service C Certificate,102.0
143,Grand Gedeh,Public,AA Certificate,62.0
144,Grand Gedeh,Public,B.Sc. in Education,59.0
145,Grand Gedeh,Public,In-service B Certificate,17.0
146,Grand Gedeh,Public,In-service C Certificate,350.0
147,Grand Gedeh,Public,M.Sc. in Education,1.0
148,Grand Gedeh,Public,No teaching certificate,64.0
149,Grand Gedeh,Public,PhD in Education,0.0
150,Grand Gedeh,Public,Pre-service B Certificate,14.0
151,Grand Gedeh,Public,Pre-service C Certificate,147.0
152,Grand Kru,Faith-based,AA Certificate,7.0
153,Grand Kru,Faith-based,B.Sc. in Education,17.0
154,Grand Kru,Faith-based,In-service C Certificate,14.0
155,Grand Kru,Faith-based,M.Sc. in Education,1.0
156,Grand Kru,Faith-based,No teaching certificate,63.0
157,Grand Kru,Faith-based,Pre-service C Certificate,42.0
