,County,Professional qualification,count,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
81,Bong,Pre-service C Certificate,Kokoyah,13.0,36.0,10.0,1.0
82,Bong,Pre-service C Certificate,Panta-Kpaai,14.0,41.0,10.0,2.0
83,Bong,Pre-service C Certificate,Salala,15.0,53.0,9.0,0.0
84,Bong,Pre-service C Certificate,Sanoyea,6.0,21.0,5.0,0.0
85,Bong,Pre-service C Certificate,Suakoko,2.0,6.0,1.0,0.0
86,Bong,Pre-service C Certificate,Zota,10.0,35.0,8.0,1.0
87,Gbarpolu,AA Certificate,Belle,0.0,0.0,2.0,0.0
88,Gbarpolu,AA Certificate,Bopolu,0.0,5.0,5.0,2.0
89,Gbarpolu,AA Certificate,Gbarma,0.0,0.0,1.0,0.0
90,Gbarpolu,AA Certificate,Kongba,0.0,4.0,0.0,0.0
91,Gbarpolu,B.Sc. in Education,Belle,0.0,0.0,8.0,5.0
92,Gbarpolu,B.Sc. in Education,Bopolu,2.0,1.0,3.0,5.0
93,Gbarpolu,B.Sc. in Education,Gbarma,0.0,0.0,2.0,3.0
94,Gbarpolu,In-service B Certificate,Belle,0.0,0.0,1.0,0.0
95,Gbarpolu,In-service B Certificate,Gbarma,0.0,0.0,0.0,1.0
96,Gbarpolu,In-service C Certificate,Belle,10.0,23.0,13.0,0.0
97,Gbarpolu,In-service C Certificate,Bopolu,4.0,10.0,2.0,0.0
98,Gbarpolu,In-service C Certificate,Gbarma,11.0,17.0,3.0,2.0
99,Gbarpolu,In-service C Certificate,Gorwalali,7.0,11.0,0.0,0.0
100,Gbarpolu,In-service C Certificate,Kongba,9.0,21.0,4.0,0.0
101,Gbarpolu,No teaching certificate,Belle,14.0,21.0,7.0,0.0
102,Gbarpolu,No teaching certificate,Bopolu,26.0,29.0,0.0,1.0
103,Gbarpolu,No teaching certificate,Gbarma,0.0,4.0,0.0,0.0
104,Gbarpolu,No teaching certificate,Gorwalali,4.0,6.0,1.0,0.0
105,Gbarpolu,No teaching certificate,Kongba,24.0,35.0,6.0,0.0
106,Gbarpolu,Pre-service B Certificate,Belle,0.0,1.0,1.0,0.0
107,Gbarpolu,Pre-service B Certificate,Bopolu,0.0,3.0,1.0,0.0
108,Gbarpolu,Pre-service B Certificate,Gbarma,0.0,0.0,0.0,2.0
109,Gbarpolu,Pre-service B Certificate,Gorwalali,0.0,2.0,1.0,0.0
110,Gbarpolu,Pre-service C Certificate,Belle,1.0,12.0,5.0,0.0
