County,Type of school,Professional qualification,0
Grand Gedeh,Faith-based,No teaching certificate,63.0
Grand Gedeh,Faith-based,Pre-service B Certificate,4.0
Grand Gedeh,Faith-based,Pre-service C Certificate,25.0
Grand Gedeh,Private,AA Certificate,57.0
Grand Gedeh,Private,B.Sc. in Education,52.0
Grand Gedeh,Private,In-service B Certificate,13.0
Grand Gedeh,Private,In-service C Certificate,207.0
Grand Gedeh,Private,M.Sc. in Education,3.0
Grand Gedeh,Private,No teaching certificate,72.0
Grand Gedeh,Private,PhD in Education,0.0
Grand Gedeh,Private,Pre-service B Certificate,9.0
Grand Gedeh,Private,Pre-service C Certificate,102.0
Grand Gedeh,Public,AA Certificate,62.0
Grand Gedeh,Public,B.Sc. in Education,59.0
Grand Gedeh,Public,In-service B Certificate,17.0
Grand Gedeh,Public,In-service C Certificate,350.0
Grand Gedeh,Public,M.Sc. in Education,1.0
Grand Gedeh,Public,No teaching certificate,64.0
Grand Gedeh,Public,PhD in Education,0.0
Grand Gedeh,Public,Pre-service B Certificate,14.0
Grand Gedeh,Public,Pre-service C Certificate,147.0
Grand Kru,Faith-based,AA Certificate,7.0
Grand Kru,Faith-based,B.Sc. in Education,17.0
Grand Kru,Faith-based,In-service C Certificate,14.0
Grand Kru,Faith-based,M.Sc. in Education,1.0
Grand Kru,Faith-based,No teaching certificate,63.0
Grand Kru,Faith-based,Pre-service C Certificate,42.0
Grand Kru,Private,AA Certificate,1.0
Grand Kru,Private,B.Sc. in Education,11.0
Grand Kru,Private,In-service C Certificate,4.0
Grand Kru,Private,No teaching certificate,18.0
Grand Kru,Private,Pre-service C Certificate,2.0
Grand Kru,Public,AA Certificate,18.0
Grand Kru,Public,B.Sc. in Education,45.0
Grand Kru,Public,In-service B Certificate,18.0
Grand Kru,Public,In-service C Certificate,124.0
Grand Kru,Public,No teaching certificate,131.0
Grand Kru,Public,Pre-service B Certificate,14.0
Grand Kru,Public,Pre-service C Certificate,269.0
Lofa,Community,AA Certificate,10.0
Lofa,Community,In-service B Certificate,1.0
Lofa,Community,In-service C Certificate,4.0
Lofa,Community,No teaching certificate,22.0
Lofa,Community,Pre-service C Certificate,1.0
Lofa,Faith-based,AA Certificate,20.0
Lofa,Faith-based,B.Sc. in Education,2.0
Lofa,Faith-based,In-service C Certificate,14.0
Lofa,Faith-based,M.Sc. in Education,0.0
Lofa,Faith-based,No teaching certificate,21.0
Lofa,Faith-based,Pre-service B Certificate,1.0
Lofa,Faith-based,Pre-service C Certificate,8.0
Lofa,Private,AA Certificate,27.0
Lofa,Private,B.Sc. in Education,12.0
Lofa,Private,In-service C Certificate,7.0
Lofa,Private,No teaching certificate,47.0
Lofa,Private,PhD in Education,1.0
Lofa,Private,Pre-service B Certificate,6.0
Lofa,Private,Pre-service C Certificate,20.0
Lofa,Public,AA Certificate,62.0
Lofa,Public,B.Sc. in Education,7.0
Lofa,Public,In-service B Certificate,20.0
Lofa,Public,In-service C Certificate,195.0
Lofa,Public,M.Sc. in Education,1.0
Lofa,Public,No teaching certificate,309.0
Lofa,Public,Pre-service B Certificate,17.0
