County,count,Professional qualification,Level(s) teaching/ECE,Level(s) teaching/Primary (Lower Basic),Level(s) teaching/Junior Secondary (Upper Basic),Level(s) teaching/Senior High
Bong,Zota,Pre-service B Certificate,0.0,8.0,4.0,1.0
Bong,Zota,Pre-service C Certificate,10.0,35.0,8.0,1.0
Gbarpolu,Belle,AA Certificate,0.0,0.0,2.0,0.0
Gbarpolu,Belle,B.Sc. in Education,0.0,0.0,8.0,5.0
Gbarpolu,Belle,In-service B Certificate,0.0,0.0,1.0,0.0
Gbarpolu,Belle,In-service C Certificate,10.0,23.0,13.0,0.0
Gbarpolu,Belle,No teaching certificate,14.0,21.0,7.0,0.0
Gbarpolu,Belle,Pre-service B Certificate,0.0,1.0,1.0,0.0
Gbarpolu,Belle,Pre-service C Certificate,1.0,12.0,5.0,0.0
Gbarpolu,Bokomu,Pre-service C Certificate,2.0,2.0,0.0,0.0
Gbarpolu,Bopolu,AA Certificate,0.0,5.0,5.0,2.0
Gbarpolu,Bopolu,B.Sc. in Education,2.0,1.0,3.0,5.0
Gbarpolu,Bopolu,In-service C Certificate,4.0,10.0,2.0,0.0
Gbarpolu,Bopolu,No teaching certificate,26.0,29.0,0.0,1.0
Gbarpolu,Bopolu,Pre-service B Certificate,0.0,3.0,1.0,0.0
Gbarpolu,Bopolu,Pre-service C Certificate,25.0,70.0,6.0,0.0
Gbarpolu,Gbarma,AA Certificate,0.0,0.0,1.0,0.0
Gbarpolu,Gbarma,B.Sc. in Education,0.0,0.0,2.0,3.0
Gbarpolu,Gbarma,In-service B Certificate,0.0,0.0,0.0,1.0
Gbarpolu,Gbarma,In-service C Certificate,11.0,17.0,3.0,2.0
Gbarpolu,Gbarma,No teaching certificate,0.0,4.0,0.0,0.0
Gbarpolu,Gbarma,Pre-service B Certificate,0.0,0.0,0.0,2.0
Gbarpolu,Gbarma,Pre-service C Certificate,0.0,0.0,1.0,0.0
Gbarpolu,Gorwalali,In-service C Certificate,7.0,11.0,0.0,0.0
Gbarpolu,Gorwalali,No teaching certificate,4.0,6.0,1.0,0.0
Gbarpolu,Gorwalali,Pre-service B Certificate,0.0,2.0,1.0,0.0
Gbarpolu,Gorwalali,Pre-service C Certificate,15.0,22.0,2.0,0.0
Gbarpolu,Kongba,AA Certificate,0.0,4.0,0.0,0.0
Gbarpolu,Kongba,In-service C Certificate,9.0,21.0,4.0,0.0
Gbarpolu,Kongba,No teaching certificate,24.0,35.0,6.0,0.0
Gbarpolu,Kongba,Pre-service C Certificate,3.0,7.0,8.0,0.0
Grand Bassa,District 1,AA Certificate,1.0,7.0,1.0,4.0
Grand Bassa,District 1,B.Sc. in Education,0.0,0.0,0.0,4.0
Grand Bassa,District 1,In-service C Certificate,11.0,30.0,17.0,0.0
Grand Bassa,District 1,No teaching certificate,36.0,39.0,0.0,0.0
Grand Bassa,District 1,PhD in Education,1.0,1.0,0.0,0.0
Grand Bassa,District 1,Pre-service B Certificate,0.0,2.0,0.0,0.0
Grand Bassa,District 1,Pre-service C Certificate,9.0,22.0,4.0,0.0
Grand Bassa,District 2,AA Certificate,0.0,2.0,4.0,3.0
Grand Bassa,District 2,B.Sc. in Education,1.0,2.0,0.0,2.0
Grand Bassa,District 2,In-service B Certificate,1.0,3.0,1.0,0.0
Grand Bassa,District 2,In-service C Certificate,7.0,15.0,1.0,0.0
Grand Bassa,District 2,No teaching certificate,22.0,37.0,4.0,0.0
Grand Bassa,District 2,Pre-service B Certificate,1.0,1.0,0.0,0.0
Grand Bassa,District 2,Pre-service C Certificate,6.0,11.0,1.0,0.0
Grand Bassa,District 3A,AA Certificate,19.0,33.0,5.0,2.0
Grand Bassa,District 3A,B.Sc. in Education,0.0,3.0,2.0,8.0
Grand Bassa,District 3A,In-service B Certificate,0.0,1.0,0.0,2.0
Grand Bassa,District 3A,In-service C Certificate,6.0,18.0,2.0,0.0
Grand Bassa,District 3A,No teaching certificate,29.0,32.0,1.0,4.0
Grand Bassa,District 3A,Pre-service B Certificate,0.0,2.0,1.0,0.0
Grand Bassa,District 3A,Pre-service C Certificate,8.0,14.0,2.0,2.0
Grand Bassa,District 3B,AA Certificate,3.0,6.0,4.0,0.0
Grand Bassa,District 3B,B.Sc. in Education,0.0,1.0,0.0,0.0
Grand Bassa,District 3B,In-service B Certificate,1.0,1.0,1.0,0.0
Grand Bassa,District 3B,In-service C Certificate,5.0,11.0,4.0,0.0
Grand Bassa,District 3B,No teaching certificate,44.0,55.0,8.0,0.0
Grand Bassa,District 3B,Pre-service C Certificate,6.0,13.0,1.0,0.0
Grand Bassa,District 4,AA Certificate,0.0,7.0,0.0,0.0
Grand Bassa,District 4,In-service B Certificate,0.0,3.0,0.0,0.0
Grand Bassa,District 4,In-service C Certificate,2.0,13.0,4.0,0.0
Grand Bassa,District 4,M.Sc. in Education,0.0,0.0,2.0,0.0
Grand Bassa,District 4,No teaching certificate,23.0,31.0,3.0,0.0
